JOB,1
I/O,32
CPU,20
CPU,39
I/O,44
I/O,45
CPU,34
I/O,57
CPU,32
CPU,59
CPU,42
CPU,33
CPU,60
CPU,40
CPU,35
CPU,44
I/O,56
I/O,58
I/O,31
I/O,58
CPU,57
CPU,43
,
JOB,2
CPU,54
I/O,40
CPU,48
CPU,43
I/O,46
I/O,39
I/O,53
I/O,35
CPU,48
CPU,41
CPU,31
CPU,60
CPU,55
I/O,37
CPU,57
CPU,60
CPU,33
I/O,42
I/O,39
CPU,32
CPU,35
,
JOB,200
I/O,45
CPU,48
I/O,55
I/O,51
CPU,55
I/O,34
CPU,43
CPU,48
CPU,60
I/O,33
CPU,1
CPU,2
CPU,3
I/O,41
CPU,35
CPU,38
I/O,59
CPU,37
I/O,57
I/O,41
I/O,41
