Job,1
I/O,18
I/O,11
CPU,14
CPU,11
I/O,5
I/O,20
I/O,12
I/O,15
CPU,17
I/O,8
CPU,9
I/O,13
I/O,5
CPU,14
I/O,13
CPU,4
CPU,14
I/O,15
I/O,19
I/O,16
CPU,9
CPU,2
I/O,20
CPU,12
CPU,16
I/O,7
CPU,8
CPU,13
CPU,6
I/O,16
I/O,1
CPU,1
CPU,3
CPU,16
I/O,5
I/O,2
I/O,11
CPU,8
CPU,7
I/O,12
I/O,2
CPU,5
CPU,12
CPU,9
I/O,8
I/O,11
I/O,9
CPU,18
I/O,14
I/O,1
I/O,3
CPU,20
CPU,18
I/O,4
CPU,18
CPU,6
I/O,18
I/O,3
I/O,15
I/O,5
CPU,5
CPU,9
I/O,19
CPU,8
CPU,13
CPU,17
I/O,6
CPU,1
CPU,8
CPU,8
I/O,15
CPU,9
CPU,19
CPU,6
I/O,8
CPU,7
CPU,3
I/O,12
CPU,7
I/O,13
I/O,12
CPU,16
CPU,4
I/O,6
CPU,10
I/O,16
I/O,15
I/O,2
I/O,13
I/O,20
I/O,20
CPU,19
CPU,5
CPU,9
I/O,19
CPU,3
I/O,20
CPU,18
CPU,10
I/O,13
CPU,7
I/O,2
CPU,5
I/O,7
CPU,13
I/O,1
I/O,13
I/O,12
I/O,9
CPU,14
I/O,18
CPU,7
I/O,9
I/O,3
I/O,3
CPU,14
I/O,13
I/O,17
I/O,20
I/O,11
CPU,1
CPU,6

Job,60
I/O,5
CPU,17
I/O,13
CPU,8
I/O,20
I/O,12
I/O,18
I/O,20
CPU,18
CPU,8
I/O,20
I/O,14
I/O,6
CPU,3
I/O,20
I/O,12
I/O,9
CPU,10
I/O,10
I/O,13
CPU,8
I/O,15
I/O,12
I/O,16
I/O,20
CPU,14
I/O,18
I/O,9
CPU,8
I/O,18
I/O,10
I/O,10
I/O,11
I/O,10
CPU,14
CPU,3
I/O,1
I/O,19
CPU,16
CPU,13
I/O,19
CPU,2
CPU,6
CPU,18
I/O,6
CPU,9
I/O,12
CPU,14
I/O,13
CPU,1
I/O,15
CPU,16
CPU,19
CPU,3
CPU,11
CPU,13
CPU,10
CPU,4
I/O,4
I/O,17
I/O,13
CPU,17
I/O,12
CPU,18
I/O,4
CPU,16
CPU,2
CPU,12
CPU,10
CPU,8
I/O,7
CPU,4
CPU,8
CPU,16
CPU,2
CPU,14
I/O,13
CPU,10
I/O,11
I/O,12
CPU,20
CPU,19
I/O,16
